No.;Gene name;Score;Oncogene or Tumor Suppresson gene
3286;CPEB1;9.02E-05;#N/A
3287;BCAT1;9.02E-05;#N/A
3288;OBSL1;9.01E-05;#N/A
3289;NSFL1C;9.01E-05;#N/A
3290;GTF3C4;9.01E-05;#N/A
3291;SSH3;9.01E-05;#N/A
3292;ZNF366;9.01E-05;#N/A
3293;MRPS5;9.00E-05;#N/A
3294;ANAPC10;9.00E-05;#N/A
3295;MALT1;9.00E-05;#N/A
3296;BTAF1;9.00E-05;#N/A
3297;RIC3;9.00E-05;#N/A
3298;MRPS18A;9.00E-05;#N/A
3299;CD163;8.99E-05;#N/A
3300;TBL1X;8.99E-05;#N/A
3301;SNRPA;8.99E-05;#N/A
3302;CPVL;8.99E-05;#N/A
3303;TSHR;8.99E-05;x
3304;EDC4;8.99E-05;#N/A
3305;LDHA;8.99E-05;#N/A
3306;RPL27A;8.98E-05;#N/A
3307;PBX2;8.97E-05;#N/A
3308;TWNK;8.97E-05;#N/A
3309;DOK1;8.97E-05;#N/A
3310;DNAJB4;8.97E-05;#N/A
3311;SUPT3H;8.97E-05;#N/A
3312;UCN3;8.97E-05;#N/A
3313;MAFB;8.96E-05;x
3314;SP100;8.96E-05;#N/A
3315;SUPT6H;8.96E-05;#N/A
3316;ARID1A;8.95E-05;x
3317;ATP6V0D1;8.95E-05;#N/A
3318;NAP1L5;8.95E-05;#N/A
3319;HLA-F;8.95E-05;#N/A
3320;GTF3C2;8.95E-05;#N/A
3321;NSUN2;8.95E-05;#N/A
3322;RNF20;8.94E-05;#N/A
3323;AKAP11;8.94E-05;#N/A
3324;PTPRM;8.94E-05;#N/A
3325;FBXW5;8.94E-05;#N/A
3326;FBXW8;8.94E-05;#N/A
3327;GRIN2B;8.93E-05;#N/A
3328;TRMT6;8.93E-05;#N/A
3329;SETD1A;8.92E-05;x
3330;KLHL5;8.92E-05;#N/A
3331;RALYL;8.92E-05;#N/A
3332;NUP43;8.91E-05;#N/A
3333;SPECC1L;8.91E-05;#N/A
3334;CACNA2D1;8.90E-05;#N/A
3335;MCM8;8.90E-05;#N/A
3336;LRP5;8.89E-05;x
3337;CLSPN;8.89E-05;#N/A
3338;MRPS2;8.89E-05;#N/A
