No.;Gene name;Score;Oncogene or Tumor Suppresson gene
11330;DDX28;4.34E-07;#N/A
11331;MFSD8;4.34E-07;#N/A
11332;PHRF1;4.34E-07;#N/A
11333;SLC4A3;4.34E-07;#N/A
11334;ZC2HC1C;4.33E-07;#N/A
11335;AGTPBP1;4.33E-07;#N/A
11336;PAM16;4.33E-07;#N/A
11337;MTMR10;4.33E-07;#N/A
11338;MAN2B1;4.32E-07;#N/A
11339;SLC6A1;4.31E-07;#N/A
11340;SH3YL1;4.30E-07;#N/A
11341;POP5;4.29E-07;#N/A
11342;ASPG;4.28E-07;#N/A
11343;BAHCC1;4.28E-07;#N/A
11344;SPATA24;4.26E-07;#N/A
11345;TMA16;4.25E-07;#N/A
11346;CRACR2A;4.25E-07;#N/A
11347;SERPINA4;4.25E-07;#N/A
11348;KCNQ5;4.21E-07;#N/A
11349;EIF1AD;4.20E-07;#N/A
11350;PGLYRP3;4.19E-07;#N/A
11351;AFP;4.19E-07;#N/A
11352;GULP1;4.19E-07;#N/A
11353;FAM50B;4.18E-07;#N/A
11354;SNTG1;4.17E-07;#N/A
11355;FAM133B;4.15E-07;#N/A
11356;DNHD1;4.15E-07;#N/A
11357;MPZL3;4.15E-07;#N/A
11358;CABYR;4.15E-07;#N/A
11359;BET1;4.12E-07;#N/A
11360;PPIL1;4.12E-07;#N/A
11361;TIMM17A;4.11E-07;#N/A
11362;MARCHF2;4.10E-07;#N/A
11363;ENOX1;4.09E-07;#N/A
11364;EMC9;4.09E-07;#N/A
11365;EMC4;4.09E-07;#N/A
11366;MLPH;4.08E-07;#N/A
11367;SYT10;4.07E-07;#N/A
11368;ASTL;4.05E-07;#N/A
11369;ARL4A;4.05E-07;#N/A
11370;BMP8B;4.04E-07;#N/A
11371;KLRG2;4.03E-07;#N/A
11372;RAI2;4.02E-07;#N/A
11373;TIMM10;4.02E-07;#N/A
11374;EFCAB6;4.01E-07;#N/A
11375;SGSM3;4.00E-07;#N/A
11376;ZFYVE27;3.97E-07;#N/A
11377;PSD3;3.96E-07;#N/A
11378;OXA1L;3.94E-07;#N/A
11379;TMEM230;3.93E-07;#N/A
11380;HACL1;3.93E-07;#N/A
11381;CCDC42;3.92E-07;#N/A
11382;SULT1A2;3.89E-07;#N/A
11383;TMEM104;3.89E-07;#N/A
11384;GPR135;3.89E-07;#N/A
11385;C4orf46;3.88E-07;#N/A
11386;SYTL2;3.88E-07;#N/A
11387;TRIM65;3.86E-07;#N/A
11388;ELMOD2;3.83E-07;#N/A
11389;PWP1;3.83E-07;#N/A
11390;SPRYD3;3.82E-07;#N/A
11391;H1-6;3.82E-07;#N/A
11392;TRIM8;3.82E-07;#N/A
11393;OBP2B;3.81E-07;#N/A
11394;FAM210B;3.81E-07;#N/A
11395;DCBLD1;3.81E-07;#N/A
11396;RPF1;3.81E-07;#N/A
11397;SFXN2;3.80E-07;#N/A
11398;ZG16;3.80E-07;#N/A
11399;PKD2L1;3.80E-07;#N/A
11400;TMEM41B;3.79E-07;#N/A
11401;CCDC87;3.78E-07;#N/A
11402;UNC5CL;3.78E-07;#N/A
11403;RER1;3.77E-07;#N/A
11404;TPCN2;3.76E-07;#N/A
11405;GEMIN8;3.76E-07;#N/A
11406;TMTC4;3.74E-07;#N/A
11407;RYR3;3.74E-07;#N/A
11408;RBBP9;3.73E-07;#N/A
11409;UGGT2;3.72E-07;#N/A
11410;CYB5R1;3.72E-07;#N/A
11411;PCMTD1;3.72E-07;#N/A
11412;LRG1;3.71E-07;#N/A
11413;DHRS13;3.70E-07;#N/A
11414;DUSP21;3.70E-07;#N/A
11415;CLASRP;3.70E-07;#N/A
11416;FAM124A;3.69E-07;#N/A
