No.;Gene name;Score;Oncogene or Tumor Suppresson gene
446;LARP7;0.000345083;#N/A
447;CSNK2B;0.000344945;#N/A
448;MAPK9;0.000344532;#N/A
449;SMARCA2;0.0003442;x
450;YEATS4;0.000343594;#N/A
451;MAML1;0.000343185;#N/A
452;PIK3C2A;0.000342489;#N/A
453;C5orf22;0.000340354;#N/A
454;ARID1A;0.000340283;x
455;POLR2E;0.000340044;#N/A
456;FOXP3;0.000339516;#N/A
457;JAK3;0.000339165;x
458;HNRNPD;0.000338992;#N/A
459;HDAC4;0.000338984;x
460;SQSTM1;0.000337547;x
461;NR2C2;0.000335725;#N/A
462;KDR;0.000335528;x
463;AMER3;0.000335051;#N/A
464;HSPB1;0.000334765;#N/A
465;PPP2R1B;0.000334255;#N/A
466;BCL2L1;0.000333706;#N/A
467;CCDC85B;0.000333045;#N/A
468;IL6ST;0.000332893;x
469;TUBB2A;0.000332263;#N/A
470;LHX3;0.000332135;#N/A
471;CBWD1;0.000331938;#N/A
472;ARNT;0.000330201;#N/A
473;GLI3;0.000329521;#N/A
474;CDC40;0.000329197;#N/A
475;TP63;0.000328804;x
476;MAPRE1;0.000328504;#N/A
477;MBD3;0.000328262;#N/A
478;NUP107;0.00032824;#N/A
479;MED13L;0.000327687;#N/A
480;OGT;0.000327392;#N/A
481;PSMA7;0.000327151;#N/A
482;CAPZA2;0.000327135;#N/A
483;AGO3;0.000326803;#N/A
484;ACTG1;0.000326207;x
485;H2BC1;0.000326171;#N/A
486;GRIA4;0.000326104;#N/A
487;TLE1;0.000325583;#N/A
488;EXOC5;0.000324237;#N/A
489;GRIN1;0.000323996;#N/A
490;ARID1B;0.000323788;x
491;ADNP;0.000322896;#N/A
492;PSMB1;0.000322773;#N/A
493;ARFGEF1;0.000321998;#N/A
494;PTPRK;0.000321975;#N/A
495;PDS5A;0.000321665;#N/A
496;NBN;0.000321163;x
497;BMI1;0.000320759;#N/A
498;HERC2;0.000320458;#N/A
499;TERF2IP;0.000320457;#N/A
500;LGALS8;0.000320393;#N/A
501;NUF2;0.0003201;x
502;AURKB;0.000319209;x
503;TUBA1C;0.00031908;#N/A
504;REST;0.000318748;x
505;SUZ12;0.000318277;x
506;CDH1;0.000318232;x
507;UBQLN2;0.000317593;#N/A
508;FOXO3;0.000317309;#N/A
509;APPL1;0.000316345;#N/A
510;KIF2C;0.000315654;#N/A
511;GRIN3B;0.000315463;#N/A
512;SMARCB1;0.00031544;x
513;EFNA5;0.000315347;#N/A
514;TRAF1;0.000314711;#N/A
515;GRB7;0.000314605;x
516;ARID4A;0.000314566;x
517;WAS;0.00031456;#N/A
518;MFAP3;0.000314224;#N/A
519;PRKCZ;0.000313973;#N/A
520;SMC2;0.000313612;#N/A
521;TUBA1A;0.000312817;#N/A
522;MRPL4;0.000312612;#N/A
523;VTN;0.000312032;#N/A
524;FANCD2;0.000311884;x
525;BMPR2;0.000311846;#N/A
526;CCNK;0.000311808;#N/A
527;ZWINT;0.00031152;#N/A
528;PIAS1;0.000311453;#N/A
529;CDC25C;0.000310697;#N/A
530;CENPE;0.000310348;#N/A
531;DLG3;0.00030987;#N/A
532;FZD8;0.0003083;#N/A
533;WDR83;0.000308186;#N/A
534;PIN1;0.00030807;#N/A
535;ATRX;0.000307996;x
536;STUB1;0.00030737;#N/A
537;KRTAP10-5;0.000306998;#N/A
538;CBX3;0.00030596;#N/A
539;HDAC6;0.000305952;#N/A
540;RING1;0.000305484;#N/A
541;RPS6KB1;0.000305273;#N/A
542;PRMT1;0.000305037;#N/A
543;RPS6KB2;0.000304424;x
544;PSMA2;0.000303878;#N/A
545;RELB;0.00030383;#N/A
546;NCOA3;0.000303314;x
547;TRIM35;0.000302851;#N/A
548;TBK1;0.000302715;#N/A
549;RNF111;0.000301854;#N/A
550;YY1;0.000301006;x
551;CASP8;0.0003009;x
552;CTBP2;0.000300694;#N/A
553;EXO1;0.000300661;#N/A
554;MITF;0.000300235;x
555;FGF1;0.000300153;x
556;RAD50;0.000300149;x
557;CNOT1;0.000299494;#N/A
558;MECP2;0.00029927;#N/A
559;APAF1;0.000298985;#N/A
560;TNF;0.000298867;#N/A
561;NKX6-1;0.000298827;#N/A
562;EPHA4;0.000298372;#N/A
563;PSMB7;0.000297954;#N/A
564;SLC26A8;0.00029794;#N/A
565;YES1;0.000297657;x
566;RBBP5;0.000297306;#N/A
567;COPS5;0.000297221;#N/A
568;MAGEA3;0.000297162;#N/A
569;LATS1;0.000297082;x
570;CLOCK;0.000296789;#N/A
571;RSF1;0.000296679;#N/A
572;VCL;0.000296541;#N/A
573;CDCA8;0.000296481;#N/A
574;XRCC6;0.000295821;#N/A
575;EPHA2;0.000295418;#N/A
576;STAT5A;0.000295155;x
577;HIPK1;0.000294356;#N/A
578;CRYAB;0.00029432;#N/A
