No.;Gene name;Score;Oncogene or Tumor Suppresson gene
3444;ALDOA;8.06E-05;#N/A
3445;ANO3;8.05E-05;#N/A
3446;SMYD1;8.05E-05;#N/A
3447;PRKRA;8.05E-05;#N/A
3448;CDK3;8.05E-05;#N/A
3449;SIAE;8.05E-05;#N/A
3450;RPS7;8.04E-05;#N/A
3451;LMX1A;8.04E-05;#N/A
3452;SLC9A3;8.03E-05;#N/A
3453;RARB;8.03E-05;#N/A
3454;SNRNP40;8.03E-05;#N/A
3455;XAB2;8.03E-05;#N/A
3456;SCARB1;8.02E-05;#N/A
3457;GLT8D2;8.01E-05;#N/A
3458;AP1S2;8.01E-05;#N/A
3459;CCL20;8.01E-05;#N/A
3460;CD40;8.01E-05;#N/A
3461;EIF4B;8.01E-05;#N/A
3462;DNAJB1;8.01E-05;#N/A
3463;DCTN5;8.01E-05;#N/A
3464;ESRRG;8.01E-05;#N/A
3465;CCDC68;8.00E-05;#N/A
3466;RBM4B;8.00E-05;#N/A
3467;SNRNP70;7.99E-05;#N/A
3468;TICAM1;7.99E-05;#N/A
3469;MT-ND1;7.98E-05;#N/A
3470;TRPM3;7.98E-05;#N/A
3471;EXOSC9;7.98E-05;#N/A
3472;TRMT112;7.98E-05;#N/A
3473;ERLIN2;7.97E-05;#N/A
3474;HOMER1;7.97E-05;#N/A
3475;MRGBP;7.97E-05;#N/A
3476;CYP3A4;7.96E-05;#N/A
3477;CYFIP2;7.96E-05;#N/A
3478;UBA2;7.96E-05;#N/A
3479;TNFRSF11B;7.95E-05;#N/A
3480;UHRF2;7.95E-05;#N/A
3481;SPRY2;7.94E-05;#N/A
3482;SDF4;7.94E-05;#N/A
3483;SACS;7.94E-05;#N/A
3484;PTP4A3;7.94E-05;#N/A
3485;LANCL1;7.94E-05;#N/A
3486;KANK2;7.93E-05;#N/A
3487;FES;7.93E-05;x
3488;RAB3A;7.93E-05;#N/A
3489;BMF;7.93E-05;#N/A
3490;NDUFS7;7.93E-05;#N/A
3491;KCNB1;7.92E-05;#N/A
3492;FREM2;7.92E-05;#N/A
3493;ZNF281;7.92E-05;#N/A
3494;PTPN4;7.91E-05;#N/A
3495;FOXR1;7.91E-05;#N/A
3496;DSTYK;7.91E-05;#N/A
3497;KRT6B;7.91E-05;#N/A
3498;GART;7.91E-05;#N/A
3499;MYEOV;7.90E-05;#N/A
3500;IPO7;7.90E-05;#N/A
3501;NTAQ1;7.90E-05;#N/A
3502;TDO2;7.90E-05;#N/A
3503;TTK;7.89E-05;#N/A
3504;USP36;7.89E-05;#N/A
3505;CYP2C19;7.89E-05;#N/A
3506;MCM9;7.88E-05;#N/A
3507;CELF2;7.87E-05;#N/A
3508;PITPNM3;7.87E-05;#N/A
3509;EIF3L;7.87E-05;#N/A
3510;VTN;7.87E-05;#N/A
3511;TFEB;7.86E-05;#N/A
3512;HSPG2;7.86E-05;#N/A
3513;ZG16;7.86E-05;#N/A
3514;GATA4;7.86E-05;x
3515;ACVRL1;7.86E-05;#N/A
3516;VPS28;7.85E-05;#N/A
3517;SH2D2A;7.85E-05;#N/A
3518;MYPN;7.85E-05;#N/A
3519;RALYL;7.85E-05;#N/A
3520;WARS1;7.85E-05;#N/A
3521;FER;7.84E-05;#N/A
3522;INPP5E;7.84E-05;#N/A
3523;CENPH;7.84E-05;#N/A
3524;NTN1;7.83E-05;#N/A
3525;COPG1;7.83E-05;#N/A
3526;XPOT;7.83E-05;#N/A
3527;MIS18BP1;7.83E-05;#N/A
3528;SNCB;7.82E-05;#N/A
3529;HSPB9;7.82E-05;#N/A
3530;ABI3;7.82E-05;#N/A
3531;NECAB2;7.82E-05;#N/A
3532;SCN1A;7.82E-05;#N/A
3533;NUDT21;7.81E-05;#N/A
3534;TPM4;7.81E-05;#N/A
3535;MED8;7.81E-05;#N/A
3536;C12orf4;7.81E-05;#N/A
3537;PCOLCE;7.81E-05;#N/A
3538;NLRP12;7.81E-05;#N/A
3539;ARL2;7.81E-05;#N/A
3540;TJP2;7.81E-05;#N/A
3541;GRIN2C;7.79E-05;#N/A
3542;HAO1;7.79E-05;#N/A
3543;RPS17;7.79E-05;#N/A
3544;SUPT6H;7.78E-05;#N/A
3545;CA8;7.78E-05;#N/A
3546;CEP192;7.78E-05;#N/A
3547;TPM2;7.78E-05;#N/A
3548;AIFM1;7.78E-05;#N/A
3549;STH;7.78E-05;#N/A
3550;NIPSNAP1;7.78E-05;#N/A
3551;ARHGEF11;7.77E-05;#N/A
3552;RPS6KA2;7.77E-05;#N/A
3553;NOP2;7.77E-05;#N/A
3554;PRKAG2;7.76E-05;#N/A
3555;EGLN1;7.76E-05;#N/A
3556;IL4R;7.76E-05;#N/A
3557;DKK1;7.76E-05;#N/A
3558;QRICH1;7.76E-05;#N/A
3559;PA2G4;7.75E-05;#N/A
3560;CSE1L;7.75E-05;#N/A
3561;CLN3;7.75E-05;#N/A
3562;KCTD13;7.74E-05;#N/A
3563;PROX1;7.73E-05;#N/A
3564;TSSK1B;7.73E-05;#N/A
3565;MRPL39;7.73E-05;#N/A
3566;RBM25;7.73E-05;#N/A
3567;MSL1;7.73E-05;#N/A
3568;ALPI;7.72E-05;#N/A
3569;NT5DC2;7.72E-05;#N/A
3570;CAMKV;7.72E-05;#N/A
3571;YIPF5;7.72E-05;#N/A
3572;ZNF609;7.72E-05;#N/A
3573;TTC3;7.72E-05;#N/A
3574;ATL3;7.71E-05;#N/A
3575;BSN;7.70E-05;#N/A
3576;BCL3;7.70E-05;x
3577;ZNF676;7.70E-05;#N/A
3578;GNG12;7.69E-05;#N/A
3579;CHERP;7.69E-05;#N/A
3580;PPP4C;7.69E-05;#N/A
3581;NR6A1;7.69E-05;#N/A
3582;ZNF808;7.69E-05;#N/A
3583;CYTH4;7.69E-05;#N/A
3584;PPP2R5B;7.68E-05;#N/A
3585;CSNK1G3;7.68E-05;#N/A
3586;BRD2;7.68E-05;#N/A
3587;KRT84;7.68E-05;#N/A
3588;CD59;7.67E-05;#N/A
3589;TAGLN3;7.67E-05;#N/A
3590;NRXN1;7.67E-05;#N/A
3591;RNF8;7.67E-05;#N/A
3592;SEL1L;7.66E-05;#N/A
3593;PIP5KL1;7.66E-05;#N/A
3594;OSM;7.66E-05;#N/A
3595;FBXO45;7.64E-05;#N/A
3596;MAD2L2;7.64E-05;x
3597;MRPL28;7.64E-05;#N/A
3598;FCRL3;7.64E-05;#N/A
