No.;Gene name;Oncogene or Tumor Suppresson gene
;MMP9;#N/A
;IL3;x
;MED26;#N/A
;H2BC14;#N/A
;DVL3;#N/A
;WNT5A;#N/A
;PSMC3IP;#N/A
;WNT1;#N/A
;JAK3;x
;ITGB1;#N/A
;SHANK1;#N/A
;MEIS2;#N/A
;RRAGD;#N/A
;TBCB;#N/A
;ETS1;x
;SYNGR3;#N/A
;MAP2K5;#N/A
;HES1;#N/A
;NUP85;#N/A
;FAM168B;#N/A
;TTC13;#N/A
;RBM20;#N/A
;PLA2G2D;#N/A
;PAXIP1;#N/A
;GAS6;#N/A
;PSMA6;#N/A
;ASH2L;#N/A
;CAMK2A;#N/A
;VEGFD;#N/A
;ARMC7;#N/A
;PKP1;#N/A
;HERC1;#N/A
;IL2RG;#N/A
;CTLA4;x
;CREB3L1;#N/A
;RAD51AP1;#N/A
;RICTOR;x
;ADCY9;#N/A
;PTRH2;#N/A
;PRKCD;#N/A
;TERF2IP;#N/A
;ARHGEF16;#N/A
;MAP3K5;#N/A
;GADD45G;#N/A
;PDZD11;#N/A
;CDKN2B;x
;EXO1;#N/A
;PAK2;#N/A
;NFATC2;#N/A
;CD80;#N/A
;PLD1;#N/A
;RPTOR;x
;BCL9;x
;IDH2;x
;PLEKHH2;#N/A
;SEMA3F;#N/A
;PAX6;#N/A
;CAMK2D;#N/A
;CD38;#N/A
;PSMA5;#N/A
;TIMELESS;#N/A
;PSMD9;#N/A
;LAMTOR3;#N/A
;HDAC3;#N/A
;TICRR;#N/A
;F2R;#N/A
;TSC1;x
;CHTOP;#N/A
;GADD45B;#N/A
;ADCY3;#N/A
;HOXA2;#N/A
;STYXL1;#N/A
;ADCY8;#N/A
;PSMD3;#N/A
;NOS2;#N/A
;FOXH1;#N/A
;FAM171A1;#N/A
;CITED2;#N/A
;SNAI2;#N/A
;PSMC1;#N/A
;LOXHD1;#N/A
;YAP1;x
;ARNT2;#N/A
;ITGAV;#N/A
;CAV1;#N/A
;CARD14;#N/A
;CTDSP2;#N/A
;CITED1;#N/A
;NACAD;#N/A
;CD4;#N/A
;KAT2A;#N/A
;ALB;#N/A
;NANS;#N/A
;AXIN2;x
;FOXO4;#N/A
;DDB2;x
;BTRC;#N/A
;NGF;#N/A
;CA9;#N/A
;SNW1;#N/A
;NTMT1;#N/A
;PARP9;#N/A
;FIBP;#N/A
;ODF3L2;#N/A
;ZNF521;#N/A
;PTPN7;#N/A
;S100A11;#N/A
;NUAK2;#N/A
;IL12B;#N/A
;SMYD3;x
;CDCA2;#N/A
;IL4;#N/A
;ZDHHC16;#N/A
;NYNRIN;#N/A
;RASL11B;#N/A
;WNT11;#N/A
;PSME3;#N/A
;IRF1;x
;NEK2;#N/A
;DRAP1;#N/A
;TSSK6;#N/A
;GRHL3;#N/A
;YWHAE;#N/A
;CREB3L2;#N/A
;TRADD;#N/A
;GNAI1;#N/A
;TMEM51;#N/A
;CREB5;#N/A
;TTK;#N/A
;MED1;#N/A
;CD72;#N/A
;ZSCAN1;#N/A
;ZNF471;#N/A
;FOXM1;#N/A
;HDAC10;#N/A
;CDC7;#N/A
;RNPEP;#N/A
;NCK2;#N/A
;FOXQ1;#N/A
;PLA2G4A;#N/A
;LIG1;#N/A
;NCOA1;#N/A
;BRMS1;#N/A
;RASGRF1;#N/A
;JARID2;x
;CCL2;#N/A
;ACTB;#N/A
;RXRB;#N/A
;CENPX;#N/A
;GNG12;#N/A
;CERS2;#N/A
